Game No.,Player 1,Player 2,Player 3
91,42.857143,28.57143,28.57143
92,42.391304,28.260868,29.347824
93,41.935482,29.032257,29.032257
94,41.489365,29.787233,28.723404
95,41.05263,29.473682,29.473682
96,40.625,29.166666,30.208334
97,40.206184,29.896906,29.896906
98,39.795918,29.591837,30.612246
99,39.39394,29.292929,31.31313
100,40.0,29.0,31.0
101,40.59406,28.712872,30.69307
102,40.19608,28.431374,31.372551
103,40.7767,28.155338,31.06796
104,41.346153,27.884615,30.769232
105,40.95238,27.61905,31.428572
106,40.56604,27.35849,32.07547
107,40.186916,28.037384,31.775702
108,39.814816,28.703705,31.48148
109,39.449543,29.357798,31.192661
110,39.09091,29.090908,31.818182
111,38.73874,28.828829,32.43243
112,38.392857,29.464287,32.142857
113,38.053097,29.20354,32.743362
114,38.59649,28.947369,32.456142
115,38.260868,28.695652,33.043476
116,37.931034,28.448275,33.62069
117,37.60684,29.05983,33.333336
118,37.288136,28.813559,33.898308
119,37.81513,28.57143,33.613445
120,37.5,29.166666,33.333336
121,38.01653,28.92562,33.05785
122,37.704918,28.688522,33.606556
123,37.398373,29.268291,33.333336
124,37.096775,29.032257,33.870968
125,36.8,28.8,34.4
126,36.50794,29.36508,34.126984
127,37.007874,29.13386,33.858265
128,36.71875,29.6875,33.59375
129,36.43411,30.232557,33.333336
130,36.153847,30.769232,33.076923
131,35.87786,31.29771,32.82443
132,35.60606,31.818182,32.575756
133,35.338345,31.578945,33.082706
134,35.074627,32.089554,32.83582
135,34.814816,32.59259,32.59259
136,35.294117,32.352943,32.352943
137,35.036495,32.116787,32.846718
138,35.507248,31.88406,32.608696
139,35.2518,31.654676,33.093525
140,35.714287,31.428572,32.857143
141,35.460995,31.914892,32.624115
142,35.21127,31.690142,33.09859
143,34.965034,32.16783,32.867134
144,34.72222,31.944445,33.333336
145,35.172417,31.724136,33.103447
146,35.61644,31.506847,32.876713
147,35.37415,31.97279,32.65306
148,35.135136,32.43243,32.43243
149,34.89933,32.214764,32.885906
150,34.666668,32.666664,32.666664
