Game No.,Player 1,Player 2,Player 3
65,26.153847,40.0,33.846153
66,25.757576,39.39394,34.848484
67,25.373135,38.80597,35.820896
68,26.470589,38.235294,35.294117
69,27.536232,37.68116,34.782608
70,27.142859,38.57143,34.285717
71,28.169016,38.028168,33.802814
72,27.777779,38.88889,33.333336
73,27.39726,38.356163,34.246574
74,27.027025,39.18919,33.783783
75,26.666668,38.666664,34.666668
76,27.631578,38.157894,34.210526
77,27.272728,37.662334,35.064934
78,26.923079,37.17949,35.897438
79,26.58228,37.97468,35.44304
80,27.5,37.5,35.0
81,27.160492,38.271606,34.5679
82,26.82927,39.024387,34.146343
83,26.506025,38.554214,34.93976
84,26.190477,39.285713,34.523808
85,25.882355,40.0,34.11765
86,25.581396,39.534885,34.88372
87,25.287357,40.229885,34.482758
88,25.0,39.772728,35.227272
89,25.842697,39.325844,34.831463
90,25.555557,40.0,34.444447
91,25.274727,39.56044,35.164837
92,26.086956,39.130436,34.782608
93,25.80645,39.784946,34.408604
94,25.531916,39.361702,35.10638
95,26.31579,38.94737,34.736843
96,26.041666,39.583336,34.375
97,25.773195,40.206184,34.02062
98,25.510204,39.795918,34.69388
99,25.252523,40.40404,34.343433
100,25.0,41.0,34.0
101,24.752476,40.59406,34.653465
102,25.490198,40.19608,34.31373
103,26.213593,39.80583,33.98058
104,25.961538,39.423077,34.615387
105,25.714287,40.0,34.285717
106,25.471699,40.56604,33.962265
107,25.233644,40.186916,34.579437
108,25.925926,39.814816,34.25926
109,25.688072,40.36697,33.944954
110,25.454544,40.0,34.545456
111,26.126125,39.63964,34.234234
112,25.892857,39.285713,34.82143
113,25.663715,38.938053,35.39823
114,25.438599,38.59649,35.964912
115,25.21739,39.130436,35.652172
116,25.862068,38.793106,35.344826
117,25.641027,39.31624,35.042736
118,25.423729,38.98305,35.59322
119,25.210085,39.4958,35.294117
120,25.0,39.166668,35.833332
121,24.793388,39.669422,35.53719
122,24.590164,40.163933,35.245903
123,24.390244,40.650406,34.95935
124,24.193548,41.129032,34.677418
125,24.8,40.8,34.4
126,24.603174,41.26984,34.126984
127,24.409449,41.732285,33.858265
128,24.21875,41.40625,34.375
129,24.031008,41.860466,34.10853
130,24.615385,41.538464,33.846153
131,25.19084,41.221375,33.587788
132,25.0,40.909092,34.090908
133,24.81203,41.353382,33.834587
134,24.626865,41.791046,33.58209
135,24.444445,41.48148,34.074074
136,24.264706,41.17647,34.558823
137,24.087591,41.60584,34.30657
138,23.913044,42.028984,34.057972
139,23.741007,41.72662,34.532375
140,23.571428,41.428574,35.0
141,23.404255,41.13475,35.460995
142,23.239437,40.84507,35.915493
143,23.076923,41.25874,35.664333
144,22.916668,40.97222,36.11111
145,23.448277,40.689655,35.862072
146,23.287672,40.41096,36.30137
147,23.129251,40.816326,36.05442
148,22.972973,41.216217,35.81081
149,23.489933,40.939598,35.57047
150,24.0,40.666668,35.333332
151,23.841059,41.0596,35.099335
152,23.684212,40.789474,35.526314
153,23.529411,40.522877,35.947712
154,23.376623,40.909092,35.714287
155,23.225807,41.29032,35.48387
156,23.076923,41.025642,35.897438
157,23.56688,40.76433,35.66879
158,23.41772,40.50633,36.07595
159,23.27044,40.880505,35.849056
160,23.125,40.625,36.25
161,22.981367,40.99379,36.024845
162,23.456789,40.74074,35.802467
163,23.312883,41.104298,35.58282
164,23.170732,40.853657,35.975613
165,23.030304,41.21212,35.757576
166,22.891565,40.963856,36.144577
167,22.75449,40.718563,36.526947
168,22.619047,40.476192,36.904762
169,22.485207,40.236687,37.278107
170,22.352942,40.588234,37.058823
171,22.222223,40.935673,36.842106
172,22.67442,40.697674,36.627907
173,22.543352,40.46243,36.994217
174,22.988506,40.229885,36.78161
175,23.428572,40.0,36.571426
176,23.295454,39.772728,36.93182
177,23.728813,39.548023,36.723164
178,23.595507,39.887638,36.516853
